Time	Germany
2004Q1	77.968
2004Q2	75.688
2004Q3	76.344
2004Q4	80.260
2005Q1	76.458
2005Q2	79.548
2005Q3	77.865
2005Q4	83.422
2006Q1	84.938
2006Q2	84.806
2006Q3	86.808
2006Q4	89.562
2007Q1	90.300
2007Q2	89.824
2007Q3	90.872
2007Q4	90.120
2008Q1	94.823
2008Q2	94.974
2008Q3	94.287
2008Q4	89.574
2009Q1	74.707
2009Q2	72.565
2009Q3	79.089
2009Q4	85.461
2010Q1	83.341
2010Q2	90.588
2010Q3	90.306
2010Q4	91.480
2011Q1	92.172
2011Q2	95.836
2011Q3	94.972
2011Q4	92.013
2012Q1	89.728
2012Q2	92.257
2012Q3	91.103
2012Q4	93.052
2013Q1	88.166
2013Q2	92.944
2013Q3	92.998
2013Q4	94.525
2014Q1	92.044
2014Q2	91.771
2014Q3	92.551
2014Q4	88.636
2015Q1	88.105
2015Q2	90.240
2015Q3	92.269
2015Q4	90.592
2016Q1	85.769
2016Q2	89.775
2016Q3	86.953
2016Q4	85.829
2017Q1	86.481
2017Q2	83.551
2017Q3	83.201
2017Q4	81.416
2018Q1	85.201
2018Q2	87.290
2018Q3	84.593
2018Q4	84.899
2019Q1	88.274
2019Q2	85.246
2019Q3	84.931
2019Q4	82.107
2020Q1	85.301
2020Q2	71.448
2020Q3	78.318
2020Q4	85.076
2021Q1	87.026
2021Q2	91.012
2021Q3	88.550
2021Q4	90.976
2022Q1	90.046
2022Q2	89.847
