Time	European Union - 27 countries (from 2020)	European Union - 28 countries (2013-2020)	European Union - 27 countries (2007-2013)	European Union - 25 countries (2004-2006)	European Union - 15 countries (1995-2004)	Germany
1982						221.899
1983						223.936
1984						236.478
1985						222.408
1986						229.494
1987						220.998
1988						233.322
1989						234.775
1990						231.574
1991						229.967
1992						229.924
1993						218.331
1994					422.917	235.007
1995					410.180	237.884
1996					399.328	227.019
1997					424.535	233.455
1998					430.534	236.365
1999					431.028	229.136
2000					447.212	242.223
2001					455.414	236.101
2002				451.271	447.935	231.746
2003				435.225	432.305	219.999
2004			509.162	477.554	469.017	235.861
2005	517.531	517.531	517.336	481.604	473.695	236.765
2006	521.960	521.960	521.771	488.958	481.885	243.495
2007	541.283	544.824	544.661	512.219	504.661	248.966
2008	526.653	530.343	529.828	497.108		245.674
2009	447.626	450.896	450.575	433.230		203.868
2010	528.927	532.383	532.038	509.091		229.607
2011	536.331	539.809	539.502	516.021		221.966
2012	538.858	542.551	542.243	519.903		223.170
2013	538.001	543.252	543.045	521.577		226.864
2014	552.195	557.884	557.614	534.910		228.489
2015	544.887	548.953	548.755	525.408		221.369
2016	548.736	552.540	552.163	528.180		221.349
2017	554.230	558.296	558.020	534.983		222.731
2018	507.393	510.859	510.647	486.406		197.904
2019	521.750	528.196	527.852	500.313		205.066
2020	505.526					188.022
2021						195.093
