2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1
: 	: 	: 	: 	1.004 s	0.242 s	-1.073 s	-1.556 s	-1.309 s	-1.84 s	0.035 s	0.851 s	0.859 s	1.005 s	0.034 s	0.225 s	0.94 s	1.087 s	1.695 s	0.83 s	0.417 s	0.171 s	0.847 s	0.282 s	0.857 s	0.67 s	0.53 s	0.456 s	0.796 s	0.957 s	1.108 s	1.382 s	-0.08 s	-0.427 s	-0.207 s	-1.468 s	-0.221 s	-0.897 s	-1.287 s	-0.334 s	-0.746 s	-0.967 s	-0.385 s	-1.454 s	-0.345 s	0.742 s	1.636 s	1.449 s	0.98 s
115484.979 s	119400.11 s	121110.446 s	121912.474 s	116644.846 s	119688.653 s	119811.348 s	120015.055 s	115118.273 s	117486.313 s	119852.971 s	121036.002 s	116107.237 s	118666.743 s	119894.273 s	121308.154 s	117199.195 s	119956.16 s	121926.231 s	122315.296 s	117688.173 s	120161.794 s	122959.01 s	122660.696 s	118696.736 s	120966.757 s	123610.838 s	123220.475 s	119641.095 s	122124.945 s	124980.201 s	124923.541 s	119545.022 s	121603.771 s	124720.935 s	123089.295 s	119280.343 s	120513.056 s	123116.017 s	122677.599 s	118390.474 s	119347.593 s	122641.846 s	120894.281 s	117982.304 s	120233.238 s	124648.355 s	122646.234 s	119138.364 s
0.262 s	0.271 s	0.275 s	0.276 s	0.264 s	0.271 s	0.271 s	0.272 s	0.26 s	0.266 s	0.271 s	0.273 s	0.262 s	0.268 s	0.271 s	0.274 s	0.265 s	0.271 s	0.275 s	0.276 s	0.265 s	0.271 s	0.277 s	0.276 s	0.267 s	0.272 s	0.278 s	0.277 s	0.268 s	0.274 s	0.28 s	0.28 s	0.268 s	0.272 s	0.279 s	0.275 s	0.267 s	0.269 s	0.275 s	0.274 s	0.264 s	0.266 s	0.274 s	0.27 s	0.263 s	0.269 s	0.278 s	0.274 s	0.266 s
: 	: 	: 	: 	5.249 s	3.591 s	0.488 s	-4.331 s	-5.879 s	-7.553 s	-6.021 s	-3.13 s	-4.115 s	-2.652 s	-2.893 s	-2.307 s	-3.029 s	-3.115 s	-2.86 s	-3.183 s	-0.55 s	0.672 s	0.588 s	1.285 s	-2.583 s	-4.099 s	-5.099 s	-5.012 s	-2.298 s	-2.148 s	-1.175 s	-0.56 s	-0.731 s	-2.503 s	-4.119 s	-6.484 s	-8.349 s	-9.351 s	-8.571 s	-5.578 s	-4.209 s	-14.026 s	-2.635 s	-0.563 s	1.114 s	19.099 s	7.975 s	9.653 s	14.554 s
16060.428 s	17181.754 s	17335.747 s	18980.512 s	16903.438 s	17798.81 s	17420.384 s	18158.513 s	15909.745 s	16454.407 s	16371.583 s	17590.194 s	15255.137 s	16018.013 s	15898.001 s	17184.468 s	14793.059 s	15519.072 s	15443.282 s	16637.569 s	14711.676 s	15623.321 s	15534.015 s	16851.432 s	14331.656 s	14982.884 s	14741.951 s	16006.796 s	14002.261 s	14661.049 s	14568.66 s	15917.17 s	13899.937 s	14294.068 s	13968.622 s	14885.177 s	12739.441 s	12957.471 s	12771.437 s	14054.838 s	12203.206 s	11140.01 s	12434.891 s	13975.743 s	12339.089 s	13267.685 s	13426.595 s	15324.87 s	14134.975 s
0.036 s	0.039 s	0.039 s	0.043 s	0.038 s	0.04 s	0.039 s	0.041 s	0.036 s	0.037 s	0.037 s	0.04 s	0.034 s	0.036 s	0.036 s	0.039 s	0.033 s	0.035 s	0.035 s	0.038 s	0.033 s	0.035 s	0.035 s	0.038 s	0.032 s	0.034 s	0.033 s	0.036 s	0.031 s	0.033 s	0.033 s	0.036 s	0.031 s	0.032 s	0.031 s	0.033 s	0.028 s	0.029 s	0.029 s	0.031 s	0.027 s	0.025 s	0.028 s	0.031 s	0.028 s	0.03 s	0.03 s	0.034 s	0.032 s
: 	: 	: 	: 	2.702 s	-2.722 s	-3.267 s	-4.843 s	-4.57 s	-4.485 s	-3.324 s	-3.436 s	-5.577 s	-3.058 s	-2.395 s	-1.182 s	0.591 s	-2.303 s	-2.461 s	-2.2 s	-1.312 s	0.602 s	0.384 s	1.048 s	0.147 s	0.845 s	-0.368 s	-0.048 s	2.646 s	0.568 s	2.184 s	2.674 s	0.127 s	0.556 s	-1.105 s	-1.64 s	-0.598 s	-3.092 s	-2.198 s	-2.341 s	-4.758 s	-18.998 s	-4.003 s	0.338 s	3.429 s	26.669 s	7.647 s	6.679 s	8.685 s
208703.238 s	231469.884 s	220666.254 s	227809.052 s	214342.371 s	225168.364 s	213457.948 s	216775.133 s	204547.467 s	215070.477 s	206363.13 s	209325.779 s	193139.995 s	208493.107 s	201420.079 s	206851.623 s	194281.875 s	203691.788 s	196462.955 s	202300.8 s	191733.568 s	204917.738 s	197217.431 s	204420.421 s	192015.84 s	206649.414 s	196491.513 s	204322.076 s	197095.662 s	207823.157 s	200783.276 s	209785.983 s	197346.17 s	208978.34 s	198564.963 s	206344.478 s	196166.638 s	202516.376 s	194200.85 s	201514.151 s	186833.583 s	164042.191 s	186426.725 s	202195.776 s	193239.721 s	207790.285 s	200682.162 s	215700.202 s	210022.014 s
0.474 s	0.525 s	0.5 s	0.516 s	0.486 s	0.51 s	0.483 s	0.49 s	0.463 s	0.486 s	0.467 s	0.473 s	0.436 s	0.471 s	0.455 s	0.467 s	0.439 s	0.46 s	0.443 s	0.456 s	0.432 s	0.462 s	0.444 s	0.46 s	0.432 s	0.464 s	0.441 s	0.459 s	0.442 s	0.466 s	0.45 s	0.47 s	0.442 s	0.468 s	0.444 s	0.461 s	0.438 s	0.452 s	0.434 s	0.45 s	0.417 s	0.366 s	0.416 s	0.451 s	0.431 s	0.464 s	0.448 s	0.481 s	0.469 s
: 	: 	: 	: 	-2.166 s	2.512 s	0.42 s	-3.378 s	2.756 s	-3.368 s	-0.589 s	-3.747 s	-5.922 s	-8.25 s	-3.577 s	-2.669 s	-11.972 s	-1.036 s	-3.862 s	-3.131 s	4.125 s	-3.94 s	3.632 s	-0.715 s	-4.312 s	-1.22 s	-5.941 s	3.753 s	8.213 s	3.908 s	-2.646 s	-9.331 s	-10.228 s	-10.517 s	1.18 s	-3.015 s	-9.595 s	-9.193 s	-17.285 s	-15.802 s	-17.925 s	-21.403 s	-5.456 s	-3.071 s	8.066 s	17.099 s	0.479 s	9.477 s	4.47 s
